episode,robots_requested,seed,robots_spawned,robots_completed,completion_rate,safe_success,ticks,makespan,collisions,waits,replans,blocked_intents,epsilon,q_states,q_decisions,q_updates,q_wait_actions,q_yield_actions,q_replan_actions
230,20,828961974,20,20,1.0,True,198,198,0,5,2,5,0.10021123337313932,374,10669,10669,7849,2820,0
231,30,11835323,30,30,1.0,False,223,223,1,23,12,25,0.0999105996730199,374,10694,10694,7872,2822,0
232,40,615965676,40,40,1.0,False,214,214,2,58,28,58,0.09961086787400085,376,10752,10752,7919,2833,0
233,45,466833931,45,45,1.0,False,220,220,2,77,40,87,0.09931203527037885,376,10839,10839,7983,2856,0
234,50,567072026,50,50,1.0,False,234,234,4,71,37,77,0.09901409916456771,376,10916,10916,8049,2867,0
235,10,729892472,10,10,1.0,True,182,182,0,0,0,0,0.09871705686707401,376,10916,10916,8049,2867,0
236,20,398809410,20,20,1.0,True,192,192,0,2,1,2,0.09842090569647279,376,10918,10918,8051,2867,0
237,30,7280427,30,30,1.0,True,191,191,0,42,16,44,0.09812564297938337,376,10962,10962,8084,2878,0
238,40,921879135,40,40,1.0,False,206,206,3,46,27,49,0.09783126605044522,376,11011,11011,8122,2889,0
239,45,167170217,45,45,1.0,True,205,205,0,54,26,60,0.09753777225229388,376,11071,11071,8169,2902,0
240,50,443901101,50,50,1.0,False,197,197,1,40,22,41,0.097245158935537,376,11112,11112,8200,2912,0
241,10,24889239,10,10,1.0,True,182,182,0,2,3,5,0.09695342345873038,376,11117,11117,8203,2914,0
242,20,984202449,20,20,1.0,True,201,201,0,6,3,6,0.09666256318835419,376,11123,11123,8207,2916,0
243,30,95741659,30,30,1.0,True,214,214,0,17,10,21,0.09637257549878912,376,11144,11144,8221,2923,0
244,40,873841894,40,40,1.0,False,203,203,2,63,34,68,0.09608345777229275,376,11212,11212,8263,2949,0
245,45,917978080,45,45,1.0,False,201,201,2,57,27,63,0.09579520739897587,378,11275,11275,8310,2965,0
246,50,148285330,50,50,1.0,False,207,207,3,82,39,92,0.09550782177677894,378,11367,11367,8377,2990,0
247,10,490687900,10,10,1.0,True,172,172,0,4,2,4,0.0952212983114486,378,11371,11371,8379,2992,0
248,20,42611917,20,20,1.0,True,185,185,0,6,2,6,0.09493563441651426,378,11377,11377,8385,2992,0
249,30,837978521,30,30,1.0,True,204,204,0,30,14,30,0.09465082751326472,378,11407,11407,8407,3000,0
